run	group	dataset	organism	gene	tissue	quant_dir	genotype	region	age	strain	line	celltype	srx	sample_dir	stratum	variant_class	dose	lesion_type	mutation
SRR22992050	Het	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	Mut_het	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992050_SCN2A_Het	iPSC_neuron	CRISPR_het_deletion	heterozygous	coding/structural	SCN2A het
SRR22992051	Het	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	Mut_het	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992051_SCN2A_Het	iPSC_neuron	CRISPR_het_deletion	heterozygous	coding/structural	SCN2A het
SRR22992052	Het	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	Mut_het	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992052_SCN2A_Het	iPSC_neuron	CRISPR_het_deletion	heterozygous	coding/structural	SCN2A het
SRR22992054	Het	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	Mut_het	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992054_SCN2A_Het	iPSC_neuron	CRISPR_het_deletion	heterozygous	coding/structural	SCN2A het
SRR22992027	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992027_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR22992028	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992028_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR22992031	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992031_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR22992035	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992035_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR22992036	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992036_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR22992039	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992039_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR22992040	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992040_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR22992042	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992042_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR22992048	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992048_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR22992053	WT	SCN2A_het_cohort	human	SCN2A	iPSC_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/9_SCN2A	WT	iPSC_neuron	NA	NA	NA	NA	NA	SRR22992053_SCN2A_WT	iPSC_neuron	WT	WT	WT	WT
SRR6368550	mut_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	Mut_hom	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368550	iPSC_and_neuron_iPSC	CRISPR_PTC_KO	homozygous	coding/structural	SCN2A KO (hom)
SRR6368551	mut_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	Mut_hom	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368551	iPSC_and_neuron_iPSC	CRISPR_PTC_KO	homozygous	coding/structural	SCN2A KO (hom)
SRR6368552	mut_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	Mut_hom	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368552	iPSC_and_neuron_iPSC	CRISPR_PTC_KO	homozygous	coding/structural	SCN2A KO (hom)
SRR6368553	mut_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	Mut_hom	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368553	iPSC_and_neuron_iPSC	CRISPR_PTC_KO	homozygous	coding/structural	SCN2A KO (hom)
SRR6368526	ctrl_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	WT	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368526	iPSC_and_neuron_iPSC	WT	WT	WT	WT
SRR6368527	ctrl_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	WT	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368527	iPSC_and_neuron_iPSC	WT	WT	WT	WT
SRR6368528	ctrl_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	WT	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368528	iPSC_and_neuron_iPSC	WT	WT	WT	WT
SRR6368529	ctrl_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	WT	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368529	iPSC_and_neuron_iPSC	WT	WT	WT	WT
SRR6368562	ctrl_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	WT	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368562	iPSC_and_neuron_iPSC	WT	WT	WT	WT
SRR6368563	ctrl_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	WT	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368563	iPSC_and_neuron_iPSC	WT	WT	WT	WT
SRR6368564	ctrl_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	WT	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368564	iPSC_and_neuron_iPSC	WT	WT	WT	WT
SRR6368565	ctrl_iPSC	SCN2A_KO_iPSC	human	SCN2A	iPSC_and_neuron	/home/izamamede/SCN1A_and_SCN2A/quant/15_SCN2A	WT	iPSC_and_neuron	NA	NA	NA	iPSC	NA	SRR6368565	iPSC_and_neuron_iPSC	WT	WT	WT	WT
ASD16-1_70_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	Mut_het	NA	NA	NA	ASD16	iPSC-derived neuron	NA	NA	all	NA	NA	NA	SCN2A ASD16
ASD16-3_72_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	Mut_het	NA	NA	NA	ASD16	iPSC-derived neuron	NA	NA	all	NA	NA	NA	SCN2A ASD16
ASD17-1_73_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	Mut_het	NA	NA	NA	ASD17	iPSC-derived neuron	NA	NA	all	NA	NA	NA	SCN2A ASD17
ASD17-2_74_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	Mut_het	NA	NA	NA	ASD17	iPSC-derived neuron	NA	NA	all	NA	NA	NA	SCN2A ASD17
EA1-2_77_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	WT	NA	NA	NA	EA1	iPSC-derived neuron	NA	NA	all	NA	NA	NA	WT
EA1-3_78_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	WT	NA	NA	NA	EA1	iPSC-derived neuron	NA	NA	all	NA	NA	NA	WT
EB3-1_64_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	WT	NA	NA	NA	EB3	iPSC-derived neuron	NA	NA	all	NA	NA	NA	WT
EB3-2_65_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	WT	NA	NA	NA	EB3	iPSC-derived neuron	NA	NA	all	NA	NA	NA	WT
EB4-2_62_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	WT	NA	NA	NA	EB4	iPSC-derived neuron	NA	NA	all	NA	NA	NA	WT
EB4-3_63_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	WT	NA	NA	NA	EB4	iPSC-derived neuron	NA	NA	all	NA	NA	NA	WT
IM5-2_68_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	Mut_het	NA	NA	NA	IM5	iPSC-derived neuron	NA	NA	all	NA	NA	NA	SCN2A IM5
IM5-3_69_quant	NA	SCN2A_LoF_hiPSC_IDOR	human	SCN2A	hiPSC-neuron	/home/izamamede/SCN1A_and_SCN2A/results/bulk/counts_gene	Mut_het	NA	NA	NA	IM5	iPSC-derived neuron	NA	NA	all	NA	NA	NA	SCN2A IM5
