gene_name	WT	cKO	WT_cpm	cKO_cpm	log2FC
Xist	2661	38	239.84602263908502	1.1987011127100802	-6.7753157887787605
Tph2	47	815	4.236288261569708	25.708984391018824	2.350708692526431
Zbtb16	3795	2626	342.05774367355417	82.83655584149135	-2.032800077419417
Gm49519	78	39	7.030435838349729	1.2302458788340298	-1.8482755173985794
Slc6a3	1	87	0.0901337927993555	2.7443946527836047	1.7802272917921513
Plin4	68	40	6.129097910356174	1.2617906449579792	-1.65625413763657
Fkbp5	1193	1080	107.52961480963113	34.06834741386544	-1.6298474183197247
Arrdc2	109	85	9.82458341512975	2.681305120535706	-1.5560222679689937
Slc6a4	19	219	1.7125420631877548	6.908303781144936	1.5437227807846503
4930572G02Rik	24	4	2.1632110271845324	0.12617906449579794	-1.4899535687668206
Gm26992	74	55	6.669900667152308	1.7349621368172214	-1.4876870332200982
Tsix	29	11	2.6138799911813098	0.34699242736344427	-1.423806858186182
Gm10754	62	527	5.588295153560042	16.624091747321376	1.4195718166276485
4932438H23Rik	36	319	3.244816540776798	10.062780393539885	1.3819399141734106
9030622O22Rik	0	49	0	1.5456935400735246	1.3480587527712435
Apold1	35	22	3.154682747977443	0.6939848547268885	-1.2943173407114907
Gm42745	23	207	2.0730772343851767	6.529766587657542	1.292921117993739
Tsc22d3	932	1077	84.00469488899934	33.97371311549359	-1.2812715515507453
Gm13912	18	169	1.622408270388399	5.3310654749474615	1.2715560063390658
Gm30835	15	146	1.3520068919903325	4.605535854096624	1.2529600045759663
Xlr3b	7	90	0.6309365495954885	2.8390289511554534	1.2350407838427928
Gfap	224	254	20.189969587055632	8.01237059548317	-1.2334029724656952
2900045O20Rik	8	95	0.721070342394844	2.996752781775201	1.2155222745324445
Ranbp3l	82	584	7.390971009547151	18.422143416386497	1.2107927493183375
Il17rb	32	22	2.884281369579376	0.6939848547268885	-1.1972267343466787
Gm1968	2	54	0.180267585598711	1.7034173706932718	1.1956702826806767
Gm17660	15	139	1.3520068919903325	4.3847224912289775	1.1949797078436126
Scrg1	229	271	20.64063855105241	8.54863161959031	-1.1803771638614773
Gm9895	519	639	46.77943846286551	20.157105553203717	-1.1752476286228513
Sdf2l1	21	9	1.8928096487864656	0.28390289511554534	-1.1719353030505535
Dnase1l2	43	37	3.875753090372287	1.1671563465861308	-1.1698218308061212
1700121C08Rik	12	116	1.0816055135922662	3.65919287037814	1.1623833645302226
Gm35339	65	67	5.858696531958108	2.1134993303046152	-1.1393974550840726
Gm44577	75	509	6.760034459951663	16.056285957090285	1.1361685668011796
Fshr	33	26	2.974415162378732	0.8201639192226865	-1.126674200924465
Gm28535	4	62	0.360535171197422	1.9557754996848677	1.119362444300993
Gm20426	6	73	0.5408027567961331	2.302767927048312	1.099993410927892
Frem1	77	506	6.940302045550374	15.961651658718438	1.0950108676915926
Ptgds	283	362	25.50786336221761	11.419205336869712	-1.0938475246972488
Mobp	16469	22226	1484.413433612586	701.1139718709012	-1.0810873881305492
Cdh19	2482	3389	223.71207372800038	106.90521239406479	-1.0583130859414336
Mgp	93	112	8.382442730340061	3.5330138058823417	-1.0494930239013427
Klf15	153	195	13.790470298301393	6.151229394170149	-1.0484047397578808
Gm4117	41	276	3.6954855047735755	8.706355450210056	1.0476553554086978
Ikzf2	1089	1498	98.15570035849815	47.25405965367632	-1.0390453912760949
Gm15337	2	45	0.180267585598711	1.4195144755777267	1.0356035918764377
Pkhd1l1	5	62	0.4506689639967775	1.9557754996848677	1.0268183559117956
Gabrr2	52	57	4.686957225566487	1.7980516690651205	-1.0232343494235105
Gm49012	47	305	4.236288261569708	9.62115366780459	1.0203240539109177
Gm44026	5	61	0.4506689639967775	1.9242307335609186	1.011338809649024
Gm16685	4	55	0.360535171197422	1.7349621368172214	1.007346608110333
Chdh	74	90	6.669900667152308	2.8390289511554534	-0.9984664535331499
Fam83d	116	151	10.455519964725239	4.763259684716372	-0.9910860116931282
Rtkn2	490	691	44.16555847168419	21.79743339164909	-0.9863516375179074
Gm36457	3	48	0.27040137839806655	1.514148773949575	0.9847856403692831
Sgk3	861	1231	77.6051956002451	38.83160709858181	-0.9807109842942013
Daam2	2612	3767	235.42946679191658	118.82913398891769	-0.9804311409936676
Cdkn1a	37	38	3.334950333576154	1.1987011127100802	-0.9793639640121172
Gm35552	2	42	0.180267585598711	1.324880177205878	0.9780423838003783
Rfc5	7	70	0.6309365495954885	2.2081336286764635	0.9760335796132121
Gm19439	180	248	16.22408270388399	7.823101998739471	-0.9650692836283052
Cdh3	29	27	2.6138799911813098	0.8517086853466359	-0.9646914496717156
Gm14697	5	58	0.4506689639967775	1.82959643518907	0.9638779660306573
Gm5117	7	69	0.6309365495954885	2.176588862552514	0.9617777218155402
Gli1	2	41	0.180267585598711	1.2933354110819286	0.9583333924966555
Ddit4	73	92	6.579766874352952	2.902118483403352	-0.957895892694076
Slc26a7	58	70	5.2277599823626195	2.2081336286764635	-0.9569791083255714
Tex35	6	63	0.5408027567961331	1.9873202658088172	0.9551697254002889
Gm12092	34	218	3.064548955178087	6.876759015020987	0.9545068732929611
Mrc1	28	26	2.523746198381954	0.8201639192226865	-0.9530416347018166
Il12rb1	51	60	4.596823432767131	1.8926859674369687	-0.9521985231463189
Gm30313	1	35	0.0901337927993555	1.1040668143382317	0.9486753092010417
Crp	3	46	0.27040137839806655	1.451059241701676	0.9481209713969869
Gm21984	270	385	24.336124055825987	12.14473495772055	-0.9467107838680291
Hpse2	19	134	1.7125420631877548	4.2269986606092305	0.9463372801197466
Klf13	1156	1700	104.19466447605497	53.62610241071412	-0.945399137216239
Zfp108	36	227	3.244816540776798	7.1606619101365325	0.942983971293893
