dataset	pathway	direction	padj	source
Lima&Rossi2026_ASD17	GOBP_MITOTIC_CELL_CYCLE_PROCESS	down	9.70410620901211e-8	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_NEUROGENESIS	down	1.39078139674723e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_RESPONSE_TO_PEPTIDE	down	1.54532657734103e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_CELL_MOTILITY	down	1.62306388483242e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	down	1.62306388483242e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_RESPONSE_TO_BACTERIUM	down	1.9960568638386e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	down	2.07744376593601e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_NEPHRON_DEVELOPMENT	down	2.77305593744638e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	down	3.10477641200654e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_MONOATOMIC_CATION_TRANSPORT	down	3.10477641200654e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	down	4.15121544291431e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_PHOSPHORUS_METABOLIC_PROCESS	down	4.30517611873623e-7	GO_BP_RNA
Lima&Rossi2026_ASD17	GOBP_CELL_CYCLE_PROCESS	down	7.39395613521895e-7	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_LIPID_METABOLIC_PROCESS	down	2.03343347674649e-9	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_ENDOCYTOSIS	down	2.64677757094173e-6	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_FEMALE_GAMETE_GENERATION	down	1.34347464515398e-5	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_CELLULAR_RESPONSE_TO_UV	up	7.32414103730098e-5	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_PHOSPHORUS_METABOLIC_PROCESS	down	7.32414103730098e-5	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_AXON_DEVELOPMENT	down	7.32414103730098e-5	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	down	7.32414103730098e-5	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_EXECUTION_PHASE_OF_APOPTOSIS	up	9.02233420792226e-5	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_INTRACELLULAR_TRANSPORT	down	9.02233420792226e-5	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_LYMPHOCYTE_ACTIVATION	down	1.6801394949094e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS	down	1.6801394949094e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	down	2.5143751055744e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_TORC2_SIGNALING	down	2.5143751055744e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	up	2.7485500013724e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_ERAD_PATHWAY	down	2.833822236309e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_LYTIC_VACUOLE_ORGANIZATION	down	2.9257029725088e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_SODIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	up	3.1482672952165e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_PHOSPHOLIPASE_C_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	up	3.3356433504586e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_LOCOMOTION	down	3.3356433504586e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	down	3.3627976118566e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION	down	4.140661854053e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	up	5.6127961911818e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_REGULATION_OF_DEFENSE_RESPONSE	down	5.9541061363288e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_LIPID_BIOSYNTHETIC_PROCESS	down	5.9541061363288e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_NUCLEAR_TRANSPORT	down	5.9541061363288e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT	down	5.9541061363288e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_MITOTIC_CELL_CYCLE_PROCESS	down	6.4515532325781e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_T_HELPER_1_TYPE_IMMUNE_RESPONSE	down	6.4515532325781e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_RESPONSE_TO_ALKALOID	up	7.0619409672346e-4	GO_BP_RNA
Lima&Rossi2026_IM5	GOBP_LYMPHOCYTE_APOPTOTIC_PROCESS	down	8.0491348234284e-4	GO_BP_RNA
Valassina2022	INTERMEDIATE FILAMENT BASED PROCESS	up	0.010279383825811958	GO_BP_RNA
