cell	UMAP1	UMAP2	cell_type	cluster	genotype	Scn2a	dataset	organism	channel	expr	sample
08_40_59	-2.1066584575973963	4.961130183526781	Neurons	8	cKO	1.5817270622541832	Bae2025	mouse	SCN2A	1.5817270622541832	PN36_3_cKO
08_40_76	-0.9931624520622704	7.669721167871264	Neurons	8	cKO	1.745617236698867	Bae2025	mouse	SCN2A	1.745617236698867	PN36_3_cKO
08_40_78	-4.17079746611943	-1.441164809873792	Neurons	2	cKO	2.760154472684169	Bae2025	mouse	SCN2A	2.760154472684169	PN36_3_cKO
08_41_16	-3.3824900377594447	-7.266545731237623	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_41_24	2.3158038865722204	-2.821703392675611	Oligodendrocytes	5	cKO	0.4278897034929337	Bae2025	mouse	SCN2A	0.4278897034929337	PN36_3_cKO
08_41_38	-9.07431399711003	2.640130561181811	Neurons	8	cKO	2.0259456223307337	Bae2025	mouse	SCN2A	2.0259456223307337	PN36_3_cKO
08_41_51	-1.9866483200394127	4.561242144891527	Neurons	8	cKO	1.9543228314113288	Bae2025	mouse	SCN2A	1.9543228314113288	PN36_3_cKO
08_42_08	-2.761317609628341	8.969103377649096	Neurons	8	cKO	2.318121522684722	Bae2025	mouse	SCN2A	2.318121522684722	PN36_3_cKO
08_42_14	-5.017958043893477	-13.018726784399243	Astrocytes	4	cKO	1.351622279222048	Bae2025	mouse	SCN2A	1.351622279222048	PN36_3_cKO
08_42_26	-3.6859465826355433	-6.899206597021315	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_42_35	1.1425102960265665	2.686688464471606	Neurons	7	cKO	1.3018097718397212	Bae2025	mouse	SCN2A	1.3018097718397212	PN36_3_cKO
08_42_49	-1.6473749864899132	8.739117186853198	Neurons	8	cKO	1.94543030259697	Bae2025	mouse	SCN2A	1.94543030259697	PN36_3_cKO
08_42_59	0.09147852770457526	3.3338108475892816	Neurons	7	cKO	0.6551621110696306	Bae2025	mouse	SCN2A	0.6551621110696306	PN36_3_cKO
08_42_65	0.907051087538102	2.6980240758149896	Neurons	7	cKO	1.5769654995487057	Bae2025	mouse	SCN2A	1.5769654995487057	PN36_3_cKO
08_42_74	1.1285040389693763	4.644354384729174	Neurons	7	cKO	1.5543696851711364	Bae2025	mouse	SCN2A	1.5543696851711364	PN36_3_cKO
08_42_76	-0.3455032844149087	3.165995877572802	Neurons	7	cKO	1.924012234488118	Bae2025	mouse	SCN2A	1.924012234488118	PN36_3_cKO
08_42_80	9.129639745870929	-2.482888180425855	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_43_09	-5.800867437204024	-12.146675545385571	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_43_24	3.870526434103348	-5.00700660388777	Oligodendrocytes	6	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_43_35	9.430307508627276	-2.59061928432295	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_43_41	-1.8132783163391564	7.914290946313646	Neurons	8	cKO	2.170587061339157	Bae2025	mouse	SCN2A	2.170587061339157	PN36_3_cKO
08_43_54	3.590089918295243	6.739420455285814	Neurons	9	cKO	1.3767151202343857	Bae2025	mouse	SCN2A	1.3767151202343857	PN36_3_cKO
08_43_56	-5.0001100290619345	-11.185263115576	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_43_64	2.2452188741363073	5.094334166833666	Neurons	9	cKO	1.27911917013338	Bae2025	mouse	SCN2A	1.27911917013338	PN36_3_cKO
08_43_69	9.447483183065753	-0.6896436397344794	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_43_71	8.857301832357743	-2.998505551031324	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_43_79	6.16969645134578	-11.677182633093093	Endothelial cells	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_44_02	8.80720627419124	-3.530854183843824	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_44_05	-2.99892794974675	8.59395937282732	Neurons	8	cKO	2.2539355838938624	Bae2025	mouse	SCN2A	2.2539355838938624	PN36_3_cKO
08_44_23	6.869150758901933	-4.131323534658644	Oligodendrocytes	6	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_44_40	0.5956037055648353	6.606210749933031	Neurons	8	cKO	1.6915679535278074	Bae2025	mouse	SCN2A	1.6915679535278074	PN36_3_cKO
08_44_41	8.472610593954423	-2.77509136836836	Oligodendrocytes	1	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_44_51	-1.8570451725326989	6.33729271251848	Neurons	8	cKO	2.181034166487125	Bae2025	mouse	SCN2A	2.181034166487125	PN36_3_cKO
08_44_56	3.634406210104325	6.821218055078295	Neurons	9	cKO	1.8856049242200985	Bae2025	mouse	SCN2A	1.8856049242200985	PN36_3_cKO
08_44_63	-2.024974345048568	4.827525180169848	Neurons	8	cKO	1.7327040209905866	Bae2025	mouse	SCN2A	1.7327040209905866	PN36_3_cKO
08_44_65	-3.907747625192306	-6.927473980596754	Neurons	10	cKO	2.14593349055409	Bae2025	mouse	SCN2A	2.14593349055409	PN36_3_cKO
08_44_94	-3.377058385690353	-7.0129336897642345	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_45_07	-3.8902033556305384	-1.6295446936399665	Neurons	2	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_45_24	-1.117211996396682	5.7504964287965565	Neurons	8	cKO	1.983798552695743	Bae2025	mouse	SCN2A	1.983798552695743	PN36_3_cKO
08_45_43	-3.618032573541305	-6.617022473028395	Neurons	10	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_45_45	0.04184970370898505	8.106279891320971	Neurons	8	cKO	0.8268433400096433	Bae2025	mouse	SCN2A	0.8268433400096433	PN36_3_cKO
08_45_46	-1.1971957076393578	7.295178931543139	Neurons	8	cKO	1.7191534833811914	Bae2025	mouse	SCN2A	1.7191534833811914	PN36_3_cKO
08_46_01	-4.952940820535323	-2.0100949589521613	Neurons	2	cKO	2.828207858867261	Bae2025	mouse	SCN2A	2.828207858867261	PN36_3_cKO
08_46_18	-3.1460818041168666	6.507321399041918	Neurons	8	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_46_20	-0.1884830284916375	7.443899672815111	Neurons	8	cKO	1.820819973377242	Bae2025	mouse	SCN2A	1.820819973377242	PN36_3_cKO
08_46_29	6.213064790884355	-12.239903885534495	Endothelial cells	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_46_39	-3.2024058092438197	7.870972197839525	Neurons	8	cKO	2.0272530553551924	Bae2025	mouse	SCN2A	2.0272530553551924	PN36_3_cKO
08_46_42	-1.436081169923446	5.227530997583178	Neurons	8	cKO	1.704130640413784	Bae2025	mouse	SCN2A	1.704130640413784	PN36_3_cKO
08_46_55	-2.5857108820282435	3.3135052140443597	Neurons	8	cKO	1.1686173246849485	Bae2025	mouse	SCN2A	1.1686173246849485	PN36_3_cKO
08_46_66	-0.48532385826637486	5.108529609033373	Neurons	8	cKO	1.7910799679996312	Bae2025	mouse	SCN2A	1.7910799679996312	PN36_3_cKO
08_46_70	-11.814994691690108	-0.8090873543531623	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_46_82	-5.014832376321456	-11.696179825475904	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_47_01	9.599026800314286	-2.948597389867994	Oligodendrocytes	5	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_47_22	-5.890815614541671	-11.108027893713208	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_47_33	2.822502733389237	-2.7743007723600592	Oligodendrocytes	5	cKO	1.202906361336377	Bae2025	mouse	SCN2A	1.202906361336377	PN36_3_cKO
08_47_44	-6.631279825051925	-12.12579961459944	Astrocytes	4	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_47_56	-0.16357061155667046	3.097530167886523	Neurons	7	cKO	0.7079959653377353	Bae2025	mouse	SCN2A	0.7079959653377353	PN36_3_cKO
08_47_59	1.5546289693511512	6.472163241693285	Neurons	9	cKO	1.7129320206563647	Bae2025	mouse	SCN2A	1.7129320206563647	PN36_3_cKO
08_47_66	-2.0419417608581996	7.844478171655443	Neurons	8	cKO	1.484970243103798	Bae2025	mouse	SCN2A	1.484970243103798	PN36_3_cKO
08_47_78	-0.08953660615315179	4.269605677911547	Neurons	7	cKO	0.9532036053308606	Bae2025	mouse	SCN2A	0.9532036053308606	PN36_3_cKO
08_47_82	-2.4493352163635707	8.594327491113452	Neurons	8	cKO	0.8180794118962087	Bae2025	mouse	SCN2A	0.8180794118962087	PN36_3_cKO
08_47_96	1.2617118369735267	6.422445815393236	Neurons	8	cKO	1.9249492734632616	Bae2025	mouse	SCN2A	1.9249492734632616	PN36_3_cKO
08_48_01	-2.8248089540802455	7.555556338617113	Neurons	8	cKO	1.669656772427155	Bae2025	mouse	SCN2A	1.669656772427155	PN36_3_cKO
